Created Date;UTM_Campaign;UTM_Content ;UTM_Term;Account Owner Territory;Marketo Qualification Level;Marketo Interest Level;Account Status;Unmatched;Hand Raiser;UTM_Medium
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - Central;Low;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Scale - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/15/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Enterprise - Central;Medium;Low;Unassigned;0;0;paid-content-syndication
12/12/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
1/18/2023;fy22-amer-push_platforms;mt_push_platforms_ad_copy_fy22;|push notification platform|p|g|c||511889410496#CjwKCAiAzp6eBhByEiwA_gGq5Izv3QT09R7o_n7wtrXiDtbtknJ0PSsJ_BtNRicKmK7NJwsO2BqFJxoCYFIQAvD_BwE;SMB AMER - Central;High;High;Assigned;0;1;paid-search
11/22/2022;fy23-q4-amer-bau_retint;measurement_guide;undefined;;Medium;Low;No Account Mapped;1;0;paid-social
1/20/2023;fy23-q4-amer-modern_customer_retention_guide_nyny;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
11/24/2022;fy22-amer-email_marketing_platform;;email_marketing_softwares|email marketing softwares|p|g|m||516472499227#EAIaIQobChMI0KGNtNLG-wIVi7fICh0jNAtyEAAYASAAEgK-YPD_BwE;;Medium;;No Account Mapped;1;1;paid-search
1/12/2023;fy23-q4-amer-modern_customer_retention_guide_nyny;;;AMER Enterprise - Central;High;Low;Unassigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - Strat;Medium;Low;Unassigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - West;Low;Low;Assigned;0;0;paid-content-syndication
11/24/2022;fy23-q4-amer-bau_retint;measurement_guide;undefined;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-social
12/16/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Medium;Low;Assigned;0;0;paid-content-syndication
1/21/2023;fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_platform|customer engagement platform|p|g|c||499462873394;;High;Low;No Account Mapped;1;0;paid-search
12/17/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Enterprise - West;High;Low;Assigned;0;0;paid-content-syndication
1/3/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Emerging Ent - West - 2;Medium;Low;Assigned;0;0;paid-content-syndication
1/16/2023;fy23-q4-amer-remarketing_allsite;inspiration_guide;;;Medium;Low;No Account Mapped;1;0;paid-social
12/18/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Emerging Ent - East - 2;Medium;Low;Assigned;0;0;paid-content-syndication
12/1/2022;fy22-q1-amer-customer_engagement_review;customer_engagement_review;customer_engagement_solutions|customer engagement solutions|e|g|c||499462873406;AMER Emerging Ent - East - 2;High;Medium;Assigned;0;0;paid-search
12/21/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - East - 2;High;Low;Customer;0;0;paid-content-syndication
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
12/18/2022;fy23-q1-amer-bau_smb-carousel;inspiration_guide;undefined;;High;Low;No Account Mapped;1;0;paid-social
12/19/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Scale - Central;Medium;Low;Assigned;0;0;paid-content-syndication
12/16/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Emerging Ent - West - 1;Low;Low;Unassigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-best_in_class_email_guide;;;AMER Enterprise - Central;Medium;Low;Unassigned;0;0;paid-content-syndication
1/27/2023;fy23-q4-amer-bau_groups;inspiration_guide;undefined;;;Medium;No Account Mapped;0;0;paid-social
1/17/2023;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - East;High;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Enterprise - West;Low;Low;Assigned;0;0;paid-content-syndication
12/21/2022;fy23-q4-amer-retail_inspiration_guide;;;AMER Enterprise - Strat;Medium;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
1/9/2023;Acq_M_Engagement-Lifecycle_NA*2019-CustEng-eBook;undefined;customer-lifecycle_em|customer lifecycle|e|g|m||379480664349;GSA AMER - West;Medium;Low;Assigned;0;0;paid-search
12/9/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Enterprise - East;Low;Low;Assigned;0;0;paid-content-syndication
1/23/2023;fy23-q4-amer-loyalty_guide;;;AMER Enterprise - West;High;Low;Assigned;0;0;paid-content-syndication
12/15/2022;fy22-amer-acq_e_retention-marketing;mt_retention_ad_copy_fy22;customer-retention_pm|customer retention strategies|p|g|m||572731153891;AMER Emerging Ent - East - 2;High;Medium;Assigned;0;0;paid-search
12/13/2022;fy23-q4-amer-modern_customer_retention_guide;;;AMER Emerging Ent - West - 2;Low;Low;Assigned;0;0;paid-content-syndication
12/18/2022;fy23-q4-amer-customer_engagement_review_qsr;;;AMER Emerging Ent - West - 1;Low;Low;Assigned;0;0;paid-content-syndication
12/9/2022;fy23-q4-amer-customer_engagement_review_canada;;;AMER Enterprise - Strat;Low;Low;Assigned;0;0;paid-content-syndication
